code,scheme_name,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,for_primary_codes,for_primary_names,for_all_codes,for_all_names,fellowship_holders,fellowship_holders_orcids,lead_ci_orcid,lead_ci_citations_openalex_through_award_year,lead_ci_openalex_author_id,lead_ci_citation_source
DE240100501,Discovery Early Career Researcher Award,2024,Active,423232,462797.0,The University of Adelaide,3104,Evolutionary Biology,3104; 310410; 310510; 310906,Evolutionary Biology; Phylogeny and Comparative Analysis; Molecular Evolution; Animal Neurobiology,Dr Jenna Crowe-Riddell,0000-0003-2794-2914,0000-0003-2794-2914,387,https://openalex.org/A5033521177,openalex_counts_by_year
DE240100502,Discovery Early Career Researcher Award,2024,Active,424875,464134.0,Monash University,3405,Organic Chemistry,310601; 3405; 340502; 340503,Biocatalysis and Enzyme Technology; Organic Chemistry; Natural Products and Bioactive Compounds; Organic Chemical Synthesis,Dr Lauren Murray,0000-0003-3249-0828,0000-0003-3249-0828,583,https://openalex.org/A5021130402,openalex_counts_by_year
DE240100507,Discovery Early Career Researcher Award,2024,Active,444471,485541.0,University of Technology Sydney,4017,Mechanical Engineering,4017; 401702; 401705; 401808,"Mechanical Engineering; Dynamics, Vibration and Vibration Control; Microelectromechanical Systems (Mems); Nanometrology",Dr Michael Ruppert,0000-0003-2286-4929,0000-0003-2286-4929,685,https://openalex.org/A5013074934,openalex_counts_by_year
DE240100519,Discovery Early Career Researcher Award,2024,Active,420287,459124.0,Queensland University of Technology,4016,Materials Engineering,4016; 401605; 410306,Materials Engineering; Functional Materials; Environmental Nanotechnology and Nanometrology,Dr Xiaolei Shi,0000-0003-0905-2547,0000-0003-0905-2547,20097,https://openalex.org/A5006782206,openalex_counts_by_year
DE240100530,Discovery Early Career Researcher Award,2024,Active,456802,499269.0,The Australian National University,4301,Archaeology,310109; 4301; 430101; 430104,"Proteomics and Intermolecular Interactions (Excl. Medical Proteomics); Archaeology; Archaeological Science; Archaeology of Europe, the Mediterranean and the Levant",Dr Sofia Samper Carro,0000-0002-0743-4026,0000-0002-0743-4026,692,https://openalex.org/A5023589339,openalex_counts_by_year
DE240100531,Discovery Early Career Researcher Award,2024,Active,427000,466549.0,The University of Sydney,4802,Environmental and Resources Law,4802; 480204,"Environmental and Resources Law; Mining, Energy and Natural Resources Law",Prof Penelope Crossley,0000-0002-8708-1338,0000-0002-8708-1338,98,https://openalex.org/A5052349636,openalex_counts_by_year
DE240100532,Discovery Early Career Researcher Award,2024,Active,477165,521254.0,Edith Cowan University,4409,Social Work,4409; 440902; 441002; 450505,"Social Work; Counselling, Wellbeing and Community Services; Environmental Sociology; Aboriginal and Torres Strait Islander Community and Regional Development",Dr Naomi Godden,0000-0001-9881-3365,0000-0001-9881-3365,509,https://openalex.org/A5060363296,openalex_counts_by_year
DE240100533,Discovery Early Career Researcher Award,2024,Active,434727,474691.0,The University of Queensland,3502,"Banking, Finance and Investment",3502; 350201; 370299,"Banking, Finance and Investment; Environment and Climate Finance; Climate Change Science Not Elsewhere Classified",Dr Saphira Rekker,0000-0002-6508-5418,0000-0002-6508-5418,518,https://openalex.org/A5089310000,openalex_counts_by_year
DE240100535,Discovery Early Career Researcher Award,2024,Active,410000,448809.0,Monash University,3801,Applied Economics,350505; 3801; 380108; 420606,Occupational and Workplace Health and Safety; Applied Economics; Health Economics; Social Determinants of Health,Dr Jemimah Ride,0000-0002-1820-5499,0000-0002-1820-5499,613,https://openalex.org/A5017554270,openalex_counts_by_year
DE240100548,Discovery Early Career Researcher Award,2024,Active,439847,481112.0,The University of Melbourne,4005,Civil Engineering,4005; 400505; 400510,Civil Engineering; Construction Materials; Structural Engineering,Dr Tuan Nguyen,0000-0003-0415-4798,0000-0003-0415-4798,3786,https://openalex.org/A5047399180,openalex_counts_by_year
DE240100552,Discovery Early Career Researcher Award,2024,Active,414000,452254.0,Monash University,3709,Physical Geography and Environmental Geoscience,3709; 370901; 370905; 370999,Physical Geography and Environmental Geoscience; Geomorphology and Earth Surface Processes; Quaternary Environments; Physical Geography and Environmental Geoscience Not Elsewhere Classified,Dr Andrew Gunn,0000-0003-1386-0897,0000-0003-1386-0897,964,https://openalex.org/A5021559846,openalex_counts_by_year
DE240100561,Discovery Early Career Researcher Award,2024,Active,462237,504949.0,The University of Queensland,3101,Biochemistry and Cell Biology,3101; 310102; 310902; 320902,"Biochemistry and Cell Biology; Cell Development, Proliferation and Death; Animal Cell and Molecular Biology; Cellular Nervous System",Dr Odette Leiter,0000-0002-8241-6995,0000-0002-8241-6995,802,https://openalex.org/A5049675848,openalex_counts_by_year
DE240100562,Discovery Early Career Researcher Award,2024,Active,413974,453306.0,Griffith University,4803,International and Comparative Law,4803; 480310; 480408,"International and Comparative Law; Public International Law; Law, Science and Technology",Dr Michelle Rourke,0000-0003-1560-8943,0000-0003-1560-8943,885,https://openalex.org/A5003880059,openalex_counts_by_year
DE240100573,Discovery Early Career Researcher Award,2024,Active,450877,494975.0,Monash University,4104,Environmental Management,310509; 4104; 410401,Genomics; Environmental Management; Conservation and Biodiversity,Dr Emily Roycroft,0000-0003-0956-5633,0000-0003-0956-5633,452,https://openalex.org/A5057762412,openalex_counts_by_year
DE240100575,Discovery Early Career Researcher Award,2024,Active,428000,468542.0,The Australian National University,4401,Anthropology,4401; 440107; 451801; 480405,Anthropology; Social and Cultural Anthropology; Pacific Peoples and the Law; Law and Society and Socio-Legal Research,Dr Siobhan McDonnell,0000-0001-8326-8683,0000-0001-8326-8683,1639,https://openalex.org/A5021180503,openalex_counts_by_year
DE240100582,Discovery Early Career Researcher Award,2024,Active,390000,426037.0,Monash University,3703,Geochemistry,3703; 370301; 370302; 370508,Geochemistry; Exploration Geochemistry; Inorganic Geochemistry; Resource Geoscience,Dr Yanlu Xing,0000-0002-8935-5937,0000-0002-8935-5937,679,https://openalex.org/A5077417711,openalex_counts_by_year
