code,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,chief_investigators,chief_investigators_orcids
DP160104969,2016,Closed,500000,525800.0,The University of Western Australia,Dr Karol Karnowski,
DP160104980,2016,Closed,486700,242647.0,The University of Melbourne,Prof Geoffrey McFadden,0000-0002-5351-1627
DP160104988,2016,Closed,240000,252431.0,The University of Queensland,Prof Paulo Vasconcelos,
DP160104994,2016,Closed,275000,288299.0,Curtin University,A/Prof Lorenzo Ntogramatzidis,
DP160104995,2016,Closed,380000,399155.0,The University of New South Wales,Prof Christoph Arns; Prof Adrian Sheppard; Prof Ryan Armstrong; Prof Peyman Mostaghimi,0000-0003-1721-3996; 0000-0001-9792-4143; 0000-0001-6431-7902; 0000-0002-2071-6247
DP160105001,2016,Closed,260000,273292.0,University of South Australia,Prof Hans Griesser; A/Prof Bryan Coad; Dr Andrew Michelmore,0000-0003-3297-3977; 0000-0003-3215-8841
DP160105003,2016,Closed,390400,410441.0,The University of Sydney,Prof Iain McGregor; Prof Mathew Crowther; Prof Mark Connor,0000-0002-9307-7159; 0000-0001-8968-1161; 0000-0003-2538-2001
DP160105005,2016,Closed,653300,692659.0,Macquarie University,Prof Gilles Guillemin; Prof Kenneth Rodgers,0000-0001-8105-4470; 0000-0002-3627-9651
DP160105023,2016,Closed,465000,488553.0,The University of Sydney,Prof Assaad Masri; Prof Matthew Cleary; Dr Matthew Dunn,0000-0003-1558-7222
DP160105066,2016,Closed,420000,441345.0,The University of Western Australia,Prof Hong Yang,0000-0003-0169-6479
DP160105070,2016,Closed,995000,1063906.0,The University of New South Wales,Prof Bernard Balleine; Prof Steven Meikle,
DP150102562,2015,Closed,124791,122988.0,University of Wollongong,Prof Guy Davidson,0000-0001-9101-8764
DP150102071,2015,Closed,819400,861882.0,The Australian National University,Prof Yuri Kivshar,0000-0002-3410-812X
DP150102062,2015,Closed,413500,427727.0,University of Technology Sydney,Prof Elizabeth Harry,
DP150100619,2015,Closed,234300,243179.0,Flinders University,Prof Andrew Goldsmith; Prof Mark Halsey; Prof David Bright,0000-0002-4425-9589
DP150100088,2015,Closed,310700,298086.0,University of Tasmania,Prof Barbara Holland; A/Prof Jeremy Sumner; Dr Peter Jarvis,0000-0002-4628-7938; 0000-0001-9820-0235
DP150100661,2015,Closed,393700,410066.0,Flinders University,Prof Michael Nicholls,0000-0002-7072-3744
DP150102883,2015,Closed,560000,583660.0,The Australian National University,Prof Kiaran Kirk; A/Prof Giel van Dooren; Prof Stefan Broer; Prof Ian Cockburn,0000-0003-2455-9821; 0000-0002-8040-1634; 0000-0001-8220-9294
DP150104405,2015,Closed,240158,249008.0,The Australian National University,Prof James Raymer; Dr Thomas Wilson,0000-0001-6588-8985; 0000-0001-8812-7556
DP150101889,2015,Closed,239700,235416.0,The Australian National University,Prof Michael Smithson,
DP150104007,2015,Closed,404700,418211.0,The University of Sydney,A/Prof Peter Franks,
DP150102608,2015,Closed,334100,241471.0,University of Tasmania,Prof Pavel Nesterenko,0000-0002-9997-0650
DP150100198,2015,Closed,355100,367392.0,The University of Queensland,Prof Robbie Wilson; A/Prof Diana Fisher; Prof Hamish Campbell,0000-0002-0116-5427; 0000-0002-4017-3710; 0000-0003-1428-1686
DP150103122,2015,Closed,344200,355781.0,RMIT University,Dr Ascelin Gordon; Prof Sarah Bekessy,0000-0002-0648-0346
DP150103739,2015,Closed,216294,221965.0,The University of New South Wales,A/Prof Garrett Prestage; Dr Feng Jin; A/Prof Iryna Zablotska-Manos,
